,index,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank,name
527,527,2021-07-26,223.7,3,3.3,▲,14.0,1.5,-6.0,3517.0,braton_vandal_set
521,521,2021-07-26,43.0,2,2.2,▲,10.0,5.4,-2.0,2550.0,dera_vandal_set
524,524,2021-07-26,68.0,2,3.5,▲,9.0,5.4,0.0,2552.0,karak_wraith_set
523,523,2021-07-26,8.4,3,0.3,▲,-7.0,3.7,-8.0,3603.0,gorgon_wraith_set
524,524,2021-07-26,69.3,4,3.1,▲,27.0,4.7,3.0,2462.0,latron_wraith_set
529,529,2021-07-26,66.3,4,0.4,▲,14.0,0.6,1.0,2872.0,strun_wraith_set
530,530,2021-07-26,44.0,4,0.6,▲,27.0,1.4,1.0,2972.0,snipetron_vandal_set
531,531,2021-07-26,170.5,6,2.0,▲,16.0,1.2,-10.0,3888.0,lato_vandal_set
522,522,2021-07-26,64.4,4,0.9,▲,35.0,1.4,-1.0,2386.0,twin_vipers_wraith_set
529,529,2021-07-26,31.1,8,0.2,▲,24.0,0.6,-1.0,3612.0,furax_wraith_set
522,522,2021-07-26,40.6,2,-1.0,▼,-18.0,-2.4,-3.0,4064.0,pathocyst_set
531,531,2021-07-26,45.0,16,0.7,▲,79.0,1.6,-2.0,11580.0,imperator_vandal_set
377,377,2021-07-26,35.9,23,0.0,-,-55.0,0.0,-14.0,12990.0,panthera_prime_set
377,377,2021-07-26,20.0,33,-0.3,▼,-55.0,-1.5,10.0,14483.0,karyst_prime_set
531,531,2021-07-26,27.3,9,0.3,▲,7.0,1.1,-4.0,5345.0,rakta_cernos
97,97,2021-07-26,78.4,3,1.2,▲,11.0,1.6,-8.0,1475.0,halikar_wraith
24,24,2021-07-26,70.5,8,0.7,▲,16.0,1.0,-13.0,1098.0,prisma_machete
24,24,2021-07-26,61.0,2,-1.9,▼,-3.0,-3.0,-2.0,202.0,opticor_vandal
229,229,2021-07-26,67.8,4,1.4,▲,1.0,2.1,2.0,996.0,prisma_veritux
93,93,2021-07-26,72.8,5,0.5,▲,20.0,0.7,1.0,1010.0,prisma_dual_decurion
95,95,2021-07-26,63.9,1,3.5,▲,0.0,5.8,-5.0,633.0,glaxion_vandal
219,219,2021-07-26,270.6,8,6.3,▲,56.0,2.4,2.0,2288.0,basmu_blueprint
213,213,2021-07-26,491.9,2,-7.6,▼,83.0,-1.5,-2.0,1604.0,ceti_lacera_blueprint
308,308,2021-07-26,34.2,293,0.1,▲,8.0,0.3,-13.0,58460.0,melee_riven_mod_(veiled)
308,308,2021-07-26,7.1,140,0.0,-,1.0,0.0,-19.0,33813.0,pistol_riven_mod_(veiled)
308,308,2021-07-26,31.1,184,0.8,▲,37.0,2.6,-106.0,56079.0,rifle_riven_mod_(veiled)
307,307,2021-07-26,7.8,29,-0.3,▼,-8.0,-3.7,-20.0,11111.0,zaw_riven_mod_(veiled)
308,308,2021-07-26,27.3,54,0.5,▲,0.0,1.9,-13.0,12446.0,shotgun_riven_mod_(veiled)
308,308,2021-07-26,3.3,15,0.1,▲,-6.0,3.1,-11.0,8378.0,kitgun_riven_mod_(veiled)
307,307,2021-07-26,14.4,111,-0.3,▼,5.0,-2.0,-7.0,15305.0,xata
307,307,2021-07-26,15.0,88,0.0,-,18.0,0.0,-35.0,14586.0,jahu
307,307,2021-07-26,14.6,99,-0.2,▼,4.0,-1.4,-11.0,14664.0,vome
307,307,2021-07-26,14.5,111,0.0,-,6.0,0.0,-12.0,14995.0,fass
307,307,2021-07-26,15.0,98,0.0,-,12.0,0.0,-23.0,14889.0,ris
307,307,2021-07-26,14.1,85,-0.2,▼,8.0,-1.4,-79.0,14814.0,khra
307,307,2021-07-26,14.1,94,-0.2,▼,9.0,-1.4,2.0,14582.0,netra
307,307,2021-07-26,15.0,88,0.0,-,19.0,0.0,-60.0,14857.0,lohk
308,308,2021-07-26,149.6,87,0.1,▲,30.0,0.1,-16.0,17038.0,legendary_fusion_core
286,286,2021-07-26,75.9,3,2.0,▲,40.0,2.7,-1.0,1452.0,prisma_shade
284,284,2021-07-26,64.2,4,-7.0,▼,25.0,-9.8,-1.0,1446.0,prisma_gorgon
509,509,2021-07-26,67.4,1,1.5,▲,69.0,2.3,-3.0,3169.0,vulkar_wraith
531,531,2021-07-26,33.0,11,0.0,-,9.0,0.0,4.0,6831.0,sancti_tigris
531,531,2021-07-26,25.5,15,0.0,-,1.0,0.0,-1.0,7296.0,vaykor_hek
531,531,2021-07-26,32.9,9,0.5,▲,16.0,1.5,-8.0,6566.0,synoid_simulor
530,530,2021-07-26,34.8,16,0.6,▲,-14.0,1.8,-6.0,8538.0,secura_penta
457,457,2021-07-26,67.2,1,3.0,▲,12.0,4.7,-3.0,1782.0,quanta_vandal
509,509,2021-07-26,66.8,4,1.3,▲,78.0,2.0,3.0,3249.0,prisma_grinlok
524,524,2021-07-26,49.5,8,1.1,▲,40.0,2.3,2.0,3850.0,supra_vandal
489,489,2021-07-26,63.1,2,-0.9,▼,50.0,-1.4,-1.0,2439.0,prisma_tetra
495,495,2021-07-26,70.2,1,1.1,▲,56.0,1.6,-2.0,2852.0,prisma_grakata
405,405,2021-07-26,46.9,2,1.0,▲,28.0,2.2,-1.0,1678.0,viper_wraith
531,531,2021-07-26,28.4,22,-0.4,▼,-4.0,-1.4,13.0,4904.0,vaykor_marelok
531,531,2021-07-26,27.8,21,-1.0,▼,-20.0,-3.5,12.0,6442.0,synoid_gammacor
530,530,2021-07-26,27.0,6,0.8,▲,9.0,3.1,-7.0,4702.0,rakta_ballistica
498,498,2021-07-26,59.8,1,-0.5,▼,49.0,-0.8,-9.0,2965.0,mara_detron
531,531,2021-07-26,34.9,17,2.3,▲,9.0,7.1,-1.0,5827.0,secura_dual_cestra
494,494,2021-07-26,73.0,2,1.9,▲,42.0,2.7,-3.0,2615.0,prisma_twin_gremlins
531,531,2021-07-26,30.7,13,-2.0,▼,9.0,-6.1,-2.0,5312.0,telos_akbolto
531,531,2021-07-26,31.1,17,0.3,▲,6.0,1.0,0.0,6172.0,sancti_castanas
502,502,2021-07-26,47.2,4,-2.1,▼,37.0,-4.3,-2.0,2965.0,prisma_skana
500,500,2021-07-26,63.7,2,1.5,▲,45.0,2.4,-2.0,2873.0,prisma_dual_cleavers
486,486,2021-07-26,69.8,1,-1.8,▼,68.0,-2.5,0.0,2164.0,machete_wraith
464,464,2021-07-26,66.0,1,-3.9,▼,60.0,-5.6,-1.0,2041.0,prova_vandal
531,531,2021-07-26,28.1,13,0.0,-,-10.0,0.0,-6.0,7531.0,rakta_dark_dagger
465,465,2021-07-26,74.6,4,0.0,-,61.0,0.0,2.0,2323.0,prisma_obex
531,531,2021-07-26,30.1,13,0.3,▲,-6.0,1.0,-2.0,5206.0,vaykor_sydon
531,531,2021-07-26,34.2,17,0.8,▲,6.0,2.4,-9.0,6371.0,synoid_heliocor
531,531,2021-07-26,33.9,18,0.5,▲,-16.0,1.5,-2.0,6369.0,sancti_magistar
531,531,2021-07-26,33.1,8,0.1,▲,5.0,0.3,-14.0,6029.0,telos_boltor
531,531,2021-07-26,35.3,6,1.4,▲,19.0,4.1,-10.0,6544.0,secura_lecta
488,488,2021-07-26,18.7,19,0.1,▲,-11.0,0.5,-2.0,7288.0,aerodynamic
486,486,2021-07-26,14.8,35,0.2,▲,43.0,1.4,-45.0,12287.0,brief_respite
392,392,2021-07-26,3.6,12,0.0,-,-8.0,0.0,7.0,3046.0,combat_discipline
488,488,2021-07-26,23.5,45,0.5,▲,122.0,2.2,-1.0,19713.0,corrosive_projection
483,483,2021-07-26,22.3,8,0.5,▲,47.0,2.3,-2.0,3206.0,dead_eye
375,375,2021-07-26,38.4,5,-1.6,▼,-2.0,-4.0,0.0,1075.0,empowered_blades
487,487,2021-07-26,27.0,5,0.4,▲,67.0,1.5,-3.0,3923.0,enemy_radar
488,488,2021-07-26,23.4,25,-1.6,▼,117.0,-6.4,2.0,10488.0,energy_siphon
488,488,2021-07-26,39.1,50,-0.2,▼,19.0,-0.5,-8.0,18113.0,growing_power
106,106,2021-07-26,11.8,1,1.2,▲,0.0,11.3,0.0,138.0,infested_impedance
486,486,2021-07-26,23.8,9,0.6,▲,61.0,2.6,0.0,3498.0,loot_detector
465,465,2021-07-26,4.8,12,-0.5,▼,24.0,-9.4,4.0,2178.0,mecha_empowered
354,354,2021-07-26,4.1,4,-0.1,▼,-14.0,-2.4,0.0,948.0,melee_guidance
414,414,2021-07-26,7.9,2,0.0,-,3.0,0.0,1.0,1070.0,physique
488,488,2021-07-26,6.0,44,-0.1,▼,2.0,-1.6,-1.0,17839.0,pistol_amp
488,488,2021-07-26,21.3,25,-0.5,▼,1.0,-2.3,4.0,10403.0,power_donation
487,487,2021-07-26,15.6,12,-1.3,▼,63.0,-7.7,-2.0,4529.0,rejuvenation
458,458,2021-07-26,19.8,4,1.6,▲,31.0,8.8,1.0,1730.0,rifle_amp
389,389,2021-07-26,5.6,1,-0.3,▼,-9.0,-5.1,-3.0,912.0,shepherd
456,456,2021-07-26,19.2,2,-1.0,▼,17.0,-5.0,-1.0,1924.0,shield_disruption
437,437,2021-07-26,6.1,3,-0.4,▼,7.0,-6.2,-1.0,1396.0,shotgun_amp
90,90,2021-07-26,12.2,1,-0.5,▼,13.0,-3.9,0.0,104.0,shotgun_scavenger
90,90,2021-07-26,15.6,1,1.2,▲,9.0,8.3,0.0,105.0,sniper_scavenger
