,index,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank,name
260,260,2020-11-02,50.2,4,0.5,▲,14.0,1.0,1.0,1083.0,twin_vipers_wraith_set
263,263,2020-11-02,19.7,6,-0.8,▼,11.0,-3.9,-4.0,1689.0,furax_wraith_set
260,260,2020-11-02,45.9,5,-2.5,▼,-18.0,-5.2,0.0,2198.0,pathocyst_set
265,265,2020-11-02,64.2,16,-1.0,▼,54.0,-1.5,7.0,6571.0,imperator_vandal_set
111,111,2020-11-02,61.4,30,-1.6,▼,-30.0,-2.5,-11.0,6086.0,panthera_prime_set
111,111,2020-11-02,37.2,29,-0.8,▼,-30.0,-2.1,-23.0,6774.0,karyst_prime_set
265,265,2020-11-02,28.3,13,0.2,▲,-1.0,0.7,3.0,2507.0,rakta_cernos
42,42,2020-11-02,35.0,218,0.2,▲,4.0,0.6,81.0,7986.0,melee_riven_mod_(veiled)
42,42,2020-11-02,6.0,133,-0.6,▼,3.0,-9.1,-46.0,4353.0,pistol_riven_mod_(veiled)
42,42,2020-11-02,33.0,216,0.0,-,0.0,0.0,8.0,6196.0,rifle_riven_mod_(veiled)
42,42,2020-11-02,12.6,33,0.2,▲,-2.0,1.6,-23.0,1951.0,zaw_riven_mod_(veiled)
42,42,2020-11-02,18.9,20,-0.1,▼,4.0,-0.5,-13.0,987.0,shotgun_riven_mod_(veiled)
42,42,2020-11-02,6.1,12,-0.2,▼,-1.0,-3.2,4.0,946.0,kitgun_riven_mod_(veiled)
42,42,2020-11-02,9.6,36,0.1,▲,-3.0,1.1,-6.0,1814.0,xata
42,42,2020-11-02,10.9,33,0.4,▲,-1.0,3.8,-5.0,1792.0,jahu
42,42,2020-11-02,10.5,41,0.3,▲,2.0,2.9,8.0,1803.0,vome
42,42,2020-11-02,9.9,37,0.0,-,-3.0,0.0,-1.0,1898.0,fass
42,42,2020-11-02,10.5,32,0.5,▲,3.0,5.0,-21.0,1788.0,ris
42,42,2020-11-02,10.7,40,-0.1,▼,-1.0,-0.9,5.0,1792.0,khra
42,42,2020-11-02,10.5,32,0.1,▲,1.0,1.0,-2.0,1785.0,netra
42,42,2020-11-02,10.0,28,-0.1,▼,1.0,-1.0,-16.0,1755.0,lohk
42,42,2020-11-02,156.0,13,-0.6,▼,-1.0,-0.4,-5.0,1097.0,legendary_fusion_core
40,40,2020-11-02,146.3,3,1.5,▲,17.0,1.0,-2.0,114.0,prisma_shade
44,44,2020-11-02,61.2,4,-0.3,▼,-1.0,-0.5,3.0,200.0,prisma_gorgon
113,113,2020-11-02,87.0,2,-1.0,▼,-3.0,-1.1,-1.0,400.0,vengeful_flame_(kuva_lich_ephemera)
108,108,2020-11-02,145.5,3,-5.5,▼,-1.0,-3.6,0.0,317.0,vengeful_chill_(kuva_lich_ephemera)
118,118,2020-11-02,186.5,11,-5.0,▼,11.0,-2.6,3.0,1132.0,vengeful_charge_(kuva_lich_ephemera)
117,117,2020-11-02,72.4,5,-3.0,▼,9.0,-4.0,2.0,624.0,vengeful_toxin_(kuva_lich_ephemera)
115,115,2020-11-02,114.5,2,-2.0,▼,-4.0,-1.7,0.0,506.0,vengeful_trickster_(kuva_lich_ephemera)
254,254,2020-11-02,76.5,4,-1.0,▼,37.0,-1.3,1.0,1418.0,vulkar_wraith
265,265,2020-11-02,37.5,11,2.5,▲,18.0,7.1,-9.0,3277.0,sancti_tigris
265,265,2020-11-02,26.7,15,0.5,▲,2.0,1.9,1.0,3664.0,vaykor_hek
265,265,2020-11-02,33.0,7,-0.7,▼,3.0,-2.1,-8.0,3163.0,synoid_simulor
264,264,2020-11-02,37.3,10,0.1,▲,-3.0,0.3,-11.0,4404.0,secura_penta
256,256,2020-11-02,79.5,9,-0.5,▼,31.0,-0.6,2.0,1590.0,prisma_grinlok
264,264,2020-11-02,55.7,5,3.0,▲,20.0,5.7,-3.0,2065.0,supra_vandal
236,236,2020-11-02,52.0,3,3.2,▲,22.0,6.6,-1.0,1055.0,prisma_tetra
244,244,2020-11-02,87.8,5,-3.0,▼,24.0,-3.3,2.0,1263.0,prisma_grakata
185,185,2020-11-02,45.3,25,-0.7,▼,1.0,-1.5,19.0,685.0,viper_wraith
265,265,2020-11-02,25.0,6,1.0,▲,-1.0,4.2,1.0,2295.0,vaykor_marelok
265,265,2020-11-02,33.3,10,1.3,▲,-2.0,4.1,-4.0,3069.0,synoid_gammacor
264,264,2020-11-02,26.9,4,-2.6,▼,10.0,-8.8,-3.0,2203.0,rakta_ballistica
250,250,2020-11-02,107.0,3,-6.0,▼,20.0,-5.3,-1.0,1463.0,mara_detron
230,230,2020-11-02,110.4,3,-2.9,▼,35.0,-2.6,-1.0,854.0,prisma_angstrum
265,265,2020-11-02,34.6,12,-0.9,▼,-4.0,-2.5,-2.0,2643.0,secura_dual_cestra
251,251,2020-11-02,90.8,4,-4.6,▼,22.0,-4.8,2.0,1182.0,prisma_twin_gremlins
265,265,2020-11-02,41.3,7,0.7,▲,4.0,1.7,-6.0,2403.0,telos_akbolto
265,265,2020-11-02,34.1,13,0.3,▲,3.0,0.9,2.0,2938.0,sancti_castanas
253,253,2020-11-02,63.8,6,2.4,▲,18.0,3.9,5.0,1368.0,prisma_skana
246,246,2020-11-02,86.3,4,-0.5,▼,25.0,-0.6,-2.0,1268.0,prisma_dual_cleavers
243,243,2020-11-02,63.3,1,-4.5,▼,36.0,-6.6,-7.0,1027.0,machete_wraith
223,223,2020-11-02,38.0,1,-5.1,▼,29.0,-11.8,-1.0,1016.0,prova_vandal
265,265,2020-11-02,30.1,13,0.6,▲,2.0,2.0,-5.0,4172.0,rakta_dark_dagger
220,220,2020-11-02,113.9,4,20.9,▲,30.0,22.5,0.0,828.0,prisma_obex
265,265,2020-11-02,29.5,10,1.0,▲,2.0,3.5,6.0,2354.0,vaykor_sydon
265,265,2020-11-02,33.0,9,-1.0,▼,2.0,-2.9,3.0,2918.0,synoid_heliocor
265,265,2020-11-02,36.3,7,1.0,▲,-7.0,2.8,-9.0,3041.0,sancti_magistar
265,265,2020-11-02,36.0,7,1.9,▲,4.0,5.6,-6.0,2816.0,telos_boltor
265,265,2020-11-02,38.9,11,1.0,▲,6.0,2.6,-4.0,3068.0,secura_lecta
223,223,2020-11-02,17.7,9,0.0,-,-19.0,0.0,-1.0,3062.0,aerodynamic
221,221,2020-11-02,13.0,22,0.3,▲,15.0,2.4,-3.0,4132.0,brief_respite
169,169,2020-11-02,3.3,8,0.2,▲,-7.0,6.5,5.0,504.0,combat_discipline
223,223,2020-11-02,20.4,48,1.0,▲,64.0,5.2,17.0,9095.0,corrosive_projection
222,222,2020-11-02,15.7,11,0.1,▲,9.0,0.6,7.0,1546.0,dead_eye
182,182,2020-11-02,21.3,3,0.0,-,-14.0,0.0,2.0,437.0,empowered_blades
223,223,2020-11-02,25.4,6,0.6,▲,32.0,2.4,-6.0,1888.0,enemy_radar
223,223,2020-11-02,23.9,11,2.0,▲,51.0,9.1,-20.0,4946.0,energy_siphon
223,223,2020-11-02,33.4,9,-0.5,▼,2.0,-1.5,-28.0,8229.0,growing_power
222,222,2020-11-02,25.1,6,-2.0,▼,38.0,-7.4,-4.0,1765.0,loot_detector
214,214,2020-11-02,4.0,2,-0.1,▼,16.0,-2.4,1.0,800.0,mecha_empowered
185,185,2020-11-02,6.8,2,0.2,▲,4.0,3.0,-1.0,487.0,physique
223,223,2020-11-02,5.9,20,0.1,▲,2.0,1.7,4.0,10105.0,pistol_amp
223,223,2020-11-02,16.7,23,0.1,▲,-2.0,0.6,5.0,5577.0,power_donation
223,223,2020-11-02,31.0,9,3.9,▲,42.0,14.4,2.0,2303.0,rejuvenation
215,215,2020-11-02,17.7,4,0.5,▲,13.0,2.9,-3.0,895.0,rifle_amp
187,187,2020-11-02,5.6,2,-0.3,▼,-3.0,-5.1,1.0,484.0,shepherd
207,207,2020-11-02,19.4,2,0.6,▲,8.0,3.2,-1.0,748.0,shield_disruption
207,207,2020-11-02,5.0,1,0.0,-,-1.0,0.0,0.0,696.0,shotgun_amp
46,46,2020-11-02,11.4,1,1.6,▲,9.0,16.3,0.0,57.0,sniper_scavenger
196,196,2020-11-02,21.5,2,-4.0,▼,-9.0,-15.7,0.0,534.0,speed_holster
223,223,2020-11-02,18.7,6,0.4,▲,44.0,2.2,1.0,1832.0,sprint_boost
223,223,2020-11-02,27.2,13,-2.2,▼,51.0,-7.5,-18.0,6517.0,steel_charge
223,223,2020-11-02,11.2,20,0.3,▲,-1.0,2.8,-4.0,5150.0,swift_momentum
223,223,2020-11-02,19.0,73,0.0,-,6.0,0.0,-27.0,23812.0,adaptation
76,76,2020-11-02,24.1,6,-0.6,▼,10.0,-2.4,-3.0,754.0,medi_ray
54,54,2020-11-02,3.3,1,-0.2,▼,2.0,-5.7,-1.0,97.0,sanctuary
76,76,2020-11-02,4.0,26,-0.1,▼,3.0,-2.4,0.0,1578.0,animal_instinct
76,76,2020-11-02,6.2,12,0.0,-,-2.0,0.0,-2.0,753.0,link_armor
76,76,2020-11-02,8.1,16,-0.3,▼,-3.0,-3.6,1.0,1214.0,link_health
75,75,2020-11-02,5.9,1,0.0,-,-4.0,0.0,-5.0,394.0,link_shields
76,76,2020-11-02,94.6,7,5.0,▲,15.0,5.6,1.0,702.0,primed_animal_instinct
69,69,2020-11-02,78.7,2,-0.1,▼,5.0,-0.1,-8.0,274.0,primed_pack_leader
39,39,2020-11-02,15.5,2,-1.0,▼,2.0,-6.1,0.0,65.0,odomedic
76,76,2020-11-02,77.4,4,2.0,▲,13.0,2.7,1.0,390.0,primed_regen
72,72,2020-11-02,26.7,2,-1.3,▼,0.0,-4.6,-7.0,304.0,sacrifice
75,75,2020-11-02,8.0,8,-0.2,▼,0.0,-2.4,-6.0,1017.0,synth_deconstruct
76,76,2020-11-02,8.5,11,0.0,-,-2.0,0.0,0.0,1176.0,synth_fiber
76,76,2020-11-02,20.4,7,0.6,▲,-9.0,3.0,-6.0,1730.0,bite
76,76,2020-11-02,2.5,9,0.0,-,-6.0,0.0,3.0,1230.0,fetch
75,75,2020-11-02,14.3,2,-0.1,▼,0.0,-0.7,1.0,368.0,flame_gland
75,75,2020-11-02,6.0,5,-0.3,▼,-7.0,-4.8,1.0,588.0,frost_jaw
76,76,2020-11-02,4.1,1,0.3,▲,2.0,7.9,-6.0,644.0,hunter_recovery
76,76,2020-11-02,5.9,2,0.1,▲,-2.0,1.7,-1.0,596.0,maul
73,73,2020-11-02,35.3,1,-0.4,▼,11.0,-1.1,-1.0,267.0,shock_collar
76,76,2020-11-02,18.1,1,0.0,-,1.0,0.0,-2.0,703.0,venom_teeth
76,76,2020-11-02,18.7,10,0.1,▲,12.0,0.5,-7.0,1306.0,tek_assault
76,76,2020-11-02,12.4,27,1.1,▲,3.0,9.7,-13.0,2317.0,tek_enhance
76,76,2020-11-02,5.2,2,0.1,▲,0.0,2.0,-4.0,385.0,auxiliary_power
72,72,2020-11-02,5.6,3,0.3,▲,0.0,5.7,-7.0,380.0,efficient_transferral
76,76,2020-11-02,20.8,2,-1.0,▼,-6.0,-4.6,-5.0,561.0,energy_amplifier
76,76,2020-11-02,6.1,6,-0.2,▼,-1.0,-3.2,-5.0,753.0,hyperion_thrusters
57,57,2020-11-02,9.3,3,0.2,▲,-2.0,2.2,1.0,148.0,kinetic_diversion
65,65,2020-11-02,47.9,2,0.0,-,2.0,0.0,0.0,190.0,primed_morphic_transformer
76,76,2020-11-02,8.5,11,0.3,▲,3.0,3.7,4.0,647.0,system_reroute
64,64,2020-11-02,8.6,2,0.1,▲,4.0,1.2,0.0,201.0,archgun_ace
76,76,2020-11-02,4.1,5,0.0,-,-1.0,0.0,-2.0,761.0,automatic_trigger
76,76,2020-11-02,18.3,6,-0.1,▼,9.0,-0.5,-5.0,1332.0,charged_bullets
76,76,2020-11-02,8.7,6,0.0,-,0.0,0.0,3.0,556.0,combustion_rounds
76,76,2020-11-02,17.7,8,0.1,▲,18.0,0.6,2.0,1473.0,contamination_casing
76,76,2020-11-02,33.0,15,0.6,▲,1.0,1.9,-2.0,2218.0,critical_focus
67,67,2020-11-02,8.4,1,0.3,▲,-4.0,3.7,-1.0,241.0,deadly_efficiency
76,76,2020-11-02,40.0,15,0.7,▲,4.0,1.8,-3.0,2006.0,dual_rounds
76,76,2020-11-02,13.6,5,0.8,▲,-4.0,6.2,-4.0,889.0,electrified_barrel
76,76,2020-11-02,8.3,10,0.2,▲,3.0,2.5,-7.0,1787.0,hollowed_bullets
75,75,2020-11-02,13.6,12,-0.5,▼,13.0,-3.5,6.0,1228.0,hypothermic_shell
76,76,2020-11-02,18.0,9,-0.7,▼,-3.0,-3.7,6.0,1047.0,magma_chamber
66,66,2020-11-02,8.4,1,0.2,▲,-4.0,2.4,-2.0,264.0,marked_target
50,50,2020-11-02,11.2,1,-0.4,▼,5.0,-3.4,0.0,133.0,quick_reload
75,75,2020-11-02,7.0,5,-0.1,▼,-2.0,-1.4,4.0,419.0,venomous_clip
41,41,2020-11-02,4.7,2,0.0,-,0.0,0.0,0.0,71.0,blazing_steel
59,59,2020-11-02,10.5,4,0.1,▲,0.0,1.0,2.0,146.0,cryo_coating
52,52,2020-11-02,13.1,1,1.5,▲,2.0,12.9,0.0,116.0,infectious_injection
55,55,2020-11-02,14.3,3,1.0,▲,7.0,7.5,2.0,136.0,ion_infusion
54,54,2020-11-02,46.3,2,1.5,▲,1.0,3.3,1.0,120.0,searing_steel
65,65,2020-11-02,24.2,6,-0.2,▼,-13.0,-0.8,-2.0,478.0,saxum_carapace
66,66,2020-11-02,3.1,7,0.0,-,1.0,0.0,-8.0,634.0,carnis_carapace
58,58,2020-11-02,84.9,1,6.5,▲,11.0,8.3,-3.0,308.0,jugulus_carapace
45,45,2020-11-02,6.6,2,0.5,▲,6.0,8.2,1.0,185.0,necramech_blitz
66,66,2020-11-02,19.7,3,0.8,▲,-5.0,4.2,-3.0,1403.0,necramech_continuity
46,46,2020-11-02,5.0,1,-0.2,▼,-1.0,-3.8,-15.0,216.0,necramech_fury
58,58,2020-11-02,8.1,1,-0.4,▼,-9.0,-4.7,-2.0,638.0,necramech_intensify
51,51,2020-11-02,8.0,1,0.2,▲,-11.0,2.6,0.0,226.0,necramech_pressure_point
58,58,2020-11-02,9.1,2,0.0,-,4.0,0.0,1.0,398.0,necramech_reach
58,58,2020-11-02,12.9,1,-0.3,▼,0.0,-2.3,-2.0,688.0,necramech_slipstream
66,66,2020-11-02,27.9,7,0.5,▲,7.0,1.8,1.0,1259.0,necramech_steel_fiber
53,53,2020-11-02,312.0,1,23.0,▲,14.0,8.0,0.0,494.0,necramech_streamline
62,62,2020-11-02,352.0,6,-2.5,▼,3.0,-0.7,3.0,294.0,necramech_thrusters
55,55,2020-11-02,22.2,4,1.6,▲,10.0,7.8,1.0,541.0,necramech_stretch
201,201,2020-11-02,4.8,8,0.4,▲,2.0,9.1,4.0,571.0,aero_vantage
220,220,2020-11-02,4.1,10,0.0,-,-2.0,0.0,9.0,1243.0,agility_drift
223,223,2020-11-02,4.1,21,0.2,▲,4.0,5.1,11.0,3527.0,armored_agility
209,209,2020-11-02,4.3,2,0.0,-,-4.0,0.0,-5.0,890.0,augur_accord
223,223,2020-11-02,4.6,21,0.5,▲,5.0,12.2,0.0,6406.0,augur_message
223,223,2020-11-02,18.4,26,0.6,▲,29.0,3.4,-8.0,12168.0,augur_reach
223,223,2020-11-02,27.3,31,0.8,▲,-14.0,3.0,-19.0,14686.0,augur_secrets
219,219,2020-11-02,5.6,6,0.2,▲,10.0,3.7,2.0,1246.0,aviator
223,223,2020-11-02,14.7,68,-0.7,▼,5.0,-4.5,-43.0,21186.0,blind_rage
223,223,2020-11-02,8.6,34,0.0,-,13.0,0.0,16.0,6334.0,coaction_drift
223,223,2020-11-02,17.2,28,0.1,▲,27.0,0.6,-26.0,11655.0,constitution
223,223,2020-11-02,6.0,30,0.3,▲,2.0,5.3,-17.0,7765.0,continuity
223,223,2020-11-02,9.4,30,-0.1,▼,13.0,-1.1,-13.0,11054.0,cunning_drift
208,208,2020-11-02,3.6,4,0.3,▲,-8.0,9.1,2.0,826.0,endurance_drift
220,220,2020-11-02,4.3,5,0.0,-,9.0,0.0,3.0,1262.0,enemy_sense
223,223,2020-11-02,48.5,16,-0.2,▼,6.0,-0.4,10.0,2769.0,energy_conversion
223,223,2020-11-02,12.2,12,0.4,▲,3.0,3.4,-13.0,4346.0,equilibrium
